session_id,session_date,start_time,end_time,title,source_note
W0066,,,,Rack Pulls:,"Rack Pulls:
3 x 8 @ 245 lbs.,
1 x 25 @ 185lbs."
W0067,,,,Neutral-grip pullups:,"Neutral-grip pullups:
3 x 5 @ 25lbs,
1 x 15 @ bodyweight - AMRAP."
W0068,,,,Chest-support dumbbell rows (flat):,"Chest-support dumbbell rows (flat):
4 x 12 @ 65s."
W0069,,,,Spider curls (dumbbells):,"Spider curls (dumbbells):
3 x 12 @ 30s."
W0070,,,,One-arm kneeling cable pulldowns:,"One-arm kneeling cable pulldowns:
3 x 12 each @ 57 lbs.,
1 x 15 each @ 57 lbs. + 10 second hold - AMRAP."
W0071,,,,Incline dumbbell hammer curls:,"Incline dumbbell hammer curls:
3 x 12 @ 30s."
W0072,,,,"Standing overhead press 2 x 8 @135lbs, 1 x 6 @ 135lbs, 1 x 18 @ 95lbs - AMRAP.","Standing overhead press 2 x 8 @135lbs, 1 x 6 @ 135lbs, 1 x 18 @ 95lbs - AMRAP.
dumbbell lateral raises cluster (3 rounds):
x 12 @ 25s,
x 10 @ 20s,
x 12 @ 15s.
Incline Bench (smith machine) (low a…"
W0073,,05:10,06:00,Workout,Here is the workout that I did on Sept 7.  From 5:10 - 6:00 p.m.
W0074,,,,"Straight Arm Rope Pushdowns: 1 x 12 @ 90lbs, 1 x 14 @ 80lbs, 1 x 15 @ 70lbs.","Straight Arm Rope Pushdowns: 1 x 12 @ 90lbs, 1 x 14 @ 80lbs, 1 x 15 @ 70lbs.
Wide-grip lat pulldowns: 3 x 10 @ 150lbs, 1 x 15 @ 130lbs (3-second negatives).
Incline chest supported dumbbell rows (ne…"
W0075,2025-09-08,06:49,07:50,Workout,"Here is the workout I performed last night. September 8, 6:49 - 7:50 p.m."
W0076,,,,"Incline dumbbell press: 1 x 8 @ 65s, 1 x 8 @ 75s, 1 x 8 @ 80s, 1 x 21 @ 65s - AMRAP.","Incline dumbbell press: 1 x 8 @ 65s, 1 x 8 @ 75s, 1 x 8 @ 80s, 1 x 21 @ 65s - AMRAP.
flat dumbbell bench: 3 x 10 @ 75s, 1 x 18 @ 60's (3-second negatives) - AMRAP.
Dips: 3 x 10 @ 25lbs, 1 x 22 @ bod…"
W0077,2025-09-16,07:39,08:50,Workout,"Here is the workout I did on September 9th. 7:39 - 8:50 p.m. Straight arm rope pushdowns (slow) 1 x 15 @ 60lbs, 2 x 15 @ 70lbs. Wide grip pullups 1 x 5 @ 25lbs, 1 x 7 @ 15lbs, 1 x 13 @ bodyweight - AM…"
W0078,,,,Workout,Here is what I did today: September 16th.  Log for future reference.
W0079,,,,"Standing Barbell Overhead Press: 1 x 7 @ 135lbs, 2 x 6 @ 135 lbs.","Standing Barbell Overhead Press: 1 x 7 @ 135lbs, 2 x 6 @ 135 lbs.
Dumbbell lateral raises (1 1/2 reps, all the way up, halfway down, back up): 1 x 12 @ 25s, 1 x 12 @20s, 1 x 12 @ 15s.
Incline dumbbe…"
W0080,,05:39,06:42,Worked out from 5:39 - 6:42 p.m.,Worked out from 5:39 - 6:42 p.m.
W0081,,,,"Neutral Grip Pullups: 1 x 10 @ bodyweight, 2 x 5 @ 25lbs, 1 x 7 @ 15lbs, 1 x 12 @ bodyweight - AMRAP.","Neutral Grip Pullups: 1 x 10 @ bodyweight, 2 x 5 @ 25lbs, 1 x 7 @ 15lbs, 1 x 12 @ bodyweight - AMRAP.
Chest-supported T-Bar Rows: 3 x 10 @ 135lbs.  1 x 25 @ 100lbs - AMRAP.
Chest-supported dumbbell …"
W0082,,,,Workout,Here is what I did on 9/24.
W0083,,07:47,08:50,7:47 - 8:50 p.m.,7:47 - 8:50 p.m.
W0084,,,,"Incline dumbbell bench: 1 x 12 @ 70s, 2 x 12 @ 80s, 1 x 13 @ 70s - AMRAP.","Incline dumbbell bench: 1 x 12 @ 70s, 2 x 12 @ 80s, 1 x 13 @ 70s - AMRAP.
Flat barbell bench: 3 x 6 @ 185lbs, 1 x 26 @ 135lbs - AMRAP.
low-to-high cable flys: 3 x 15 @ 20s.
Dips: 3 x 10 @ 25lbs, 1 …"
W0085,2025-09-26,07:14,08:25,Workout,Here is my most recent workout.  September 26 from 7:14 - 8:25 p.m.  Please log this for future reference.
W0086,,,,"Seated dumbbell overhead press: 3 x 8 @ 65s, 1 x 13 @ 50s - AMRAP.","Seated dumbbell overhead press: 3 x 8 @ 65s, 1 x 13 @ 50s - AMRAP.
Seated dumbbell lateral raise (cluster set) 25s x 10 -> 20 second rest -> 20s x 10 -> 20 second rest -> 15s x 10.  3 rounds.
Dumbbe…"
W0087,,,,"Neutral grip pullups: 1 x 10 @ bodyweight, 3 x 5 @ 25lbs, 1 x 12 @ bodyweight - AMRAP.","Neutral grip pullups: 1 x 10 @ bodyweight, 3 x 5 @ 25lbs, 1 x 12 @ bodyweight - AMRAP.
Chest supported T-Bar Row: 3 x 8 @ 145lbs, 1 x 30 @ 90lbs - AMRAP.
One-arm kneeling cable rows: 3 x 12 each @ 6…"
W0088,,,,"decline barbell bench: 1 x 10 @ 185 lbs, 2 x 10 @ 105lbs, 1 x 16 @ 155lbs - AMRAP.","decline barbell bench: 1 x 10 @ 185 lbs, 2 x 10 @ 105lbs, 1 x 16 @ 155lbs - AMRAP.
Incline barbell bench: 3 x 8 @ 155lbs, 1 x 12 @ 135lbs - AMRAP.
seated chest cable flys: 3 x 12 @ 40lbs each side, …"
W0089,,,,"Seated overhead dumbbell press: 3 x 8 @ 60s, 1 x 12 @ 50s - AMRAP.","Seated overhead dumbbell press: 3 x 8 @ 60s, 1 x 12 @ 50s - AMRAP.
dumbbell lateral raises: 3 rounds of 25s x 10 -> 20s x 10 -> 15s x 12.
Reverse pec deck: 3 x 20 @ 150lbs, 1 x 25 @ 90lbs.
Incline …"
W0090,,,,Pendlay rows: 4 x 8 @ 175lbs.,"Pendlay rows: 4 x 8 @ 175lbs.
Chinups (underhand grip): bodyweight x 10, 3 x 5 @ 25lbs, bodyweight x 9 - AMRAP.
One-arm dumbbell rows: 3 x 12 each @ 70lbs, 1 x 10 each (3-second negatives) @ 60lbs.…"
W0091,,01:17,02:27,Workout,Here is yesterday's workout.  Oct 6.  From 1:17 - 2:27 p.m.
W0092,,,,"Flat dumbbell bench press: 3 x 8  @ 90s, 1 x 22 @ 70s AMRAP.","Flat dumbbell bench press: 3 x 8  @ 90s, 1 x 22 @ 70s AMRAP.
Low incline dumbbell bench press (15 degrees): 3 x 10 @ 70s, 1 x 16 @ 60's - AMRAP.
Low-to-high cable flys (double pump): 1 x 10 @ 25lbs …"
W0093,2025-10-07,,,Workout,"Here is my workout from the other day, Tuesday, October 7."
W0094,,01:10,02:18,1:10 - 2:18 p.m.,1:10 - 2:18 p.m.
W0095,,,,"Pullups (wide): bodyweight x 10, 25lbs x 5, 2 x 7 @ 15lbs, bodyweight x 13 - AMRAP.","Pullups (wide): bodyweight x 10, 25lbs x 5, 2 x 7 @ 15lbs, bodyweight x 13 - AMRAP.
Meadow dumbbell rows: 1 x 10 each @ 50lbs, 2 x 10 each @ 55lbs, 1 x 20 ( 3-second negatives) each @ 45lbs - AMRAP.…"
W0096,,,,Workout,Here is what I did on 10/10 - yesterday.  9:31 am - 10:40.
W0097,,,,"Standing single-arm dumbbell overhead press: 4 x 10 each @ 55lbs, 1 x 20 @ 40lbs.","Standing single-arm dumbbell overhead press: 4 x 10 each @ 55lbs, 1 x 20 @ 40lbs.
Smith machine, high incline press: 1 x 10 @ 133 lbs, 2 x 10 @ 143lbs, 1 x 26 @ 113lbs.
Reverse pec deck: 3 x 20 @ 16…"
W0098,,,,"Neutral grip pullups: bodyweight x 10, 3 x 6 @ 25lbs, bodyweight x 13 - AMRAP.","Neutral grip pullups: bodyweight x 10, 3 x 6 @ 25lbs, bodyweight x 13 - AMRAP.
Supported T-Bar Rows: 1 x 8 @ 155lbs, 2 x 10 @ 145lbs, 1 x 40 @ 100lbs.
Single-arm kneeling cable pulldowns: 3 x 12 eac…"
W0099,,,,Workout,"Here is what I did on Monday, Oct 13."
W0100,,,,"seated dumbbell shoulder press (neutral grip): 3 x 8 @ 65s, 1 x 16 @ 50s - AMRAP.","seated dumbbell shoulder press (neutral grip): 3 x 8 @ 65s, 1 x 16 @ 50s - AMRAP.
dumbbell lateral raises (3 rounds): 25s x 10 -> 15 second rest -> 20s x 10 -> 15 second rest -> 15s x 12.
Incline ba…"
